t,e_h,sigma_h,e_along,sigma_along,e_cross,sigma_cross
35.0,38.42776737292814,189.56786733928485,6.0737996558617535,139.27906475923683,-37.94472641894172,128.59750560316868
36.0,40.09033307648586,187.31886507518382,4.833861933806725,137.39921266293433,-39.79784648681975,127.31776613128531
37.0,40.77666672203073,185.00003378029675,3.2930854727060908,135.47504843696294,-40.643475946688184,125.98223584979546
38.0,41.29793145190003,182.67320089378808,2.9860141493362837,133.57280290451845,-41.18983930177194,124.61061210431848
39.0,42.63524724039403,180.2562867843204,2.57333557987442,131.65914540500557,-42.55751697694403,123.1186352933412
40.0,43.64993579633806,177.73248344005862,2.6383266371297993,129.68339541329576,-43.570128845118724,121.53621939096794
41.0,45.12533433789699,175.13849031049838,6.413025146448252,127.70979502927722,-44.66731363735687,119.84865056320211
42.0,45.17811836359526,172.25562171264923,5.332797097120118,125.48187384267885,-44.86227428470352,118.00973921054711
43.0,46.31151560645069,169.2753440382332,6.882310785255945,123.23542796351255,-45.79727367455049,116.04814256984949
44.0,48.56377351133193,166.10536140043047,6.493253094410516,120.85880320389512,-48.127723423323,113.94797397974992
45.0,48.35999256100796,162.91268309228352,6.847561794924885,118.46976806121025,-47.872745669800786,111.82779783153134
46.0,47.04596301308945,159.49029820009406,5.919645586201336,115.90227367112841,-46.67205193649351,109.56193763263676
47.0,45.818273809271915,155.98823900475836,5.193461400141132,113.28234174230684,-45.52298511243146,107.23545009550162
48.0,44.95701308934165,152.3240614468353,6.796451706811852,110.56271888389621,-44.44031131880391,104.7783607843709
49.0,43.96407090914775,148.5633934644105,6.749055874668965,107.77309288236857,-43.44294851532487,102.25479122383268
50.0,45.00522894413356,144.69873406360077,7.186504261081543,104.91851847427048,-44.427747960248155,99.64852292318649
51.0,43.949846413377394,140.7287589944217,5.237820004485665,101.95502454256639,-43.63661583303718,97.00389981147518
52.0,43.25879991914549,136.69711298404792,6.3676783014836635,98.96643372085263,-42.78757347050047,94.29605344206959
53.0,43.892958668992726,132.6487528976032,7.805309259328397,95.97205676193805,-43.193390328661934,91.5699512185779
54.0,44.12283545027846,128.52462363572613,8.32335768838236,92.92223243144397,-43.330662641639755,88.79210325621167
55.0,41.890527120459836,124.31385163863138,8.506166581278816,89.82293010226975,-41.01781798830255,85.94053139860385
56.0,40.30114491055155,120.0781186363238,7.9435042043062705,86.71837453111532,-39.51054317593525,83.05828130849001
57.0,40.576552883343474,115.72160517793503,7.683592030594914,83.5435028024139,-39.8424278552669,80.07479656209526
58.0,39.787797905784,111.31861086004157,7.4484127971158545,80.35419452128609,-39.084395978385935,77.03918838256723
59.0,37.667677408269064,106.93919128099112,7.2140286014133554,77.20031378471094,-36.970416722988304,74.00069042498575
