t,ax,ay,az,wx,wy,wz
2.86554545,9.44387929,-0.32211681,2.39391359,0.00397253,0.00101864,0.00249308
2.87673348,9.50244599,-0.44657104,2.37927191,0.00152907,-0.00020309,-0.00239384
2.88792151,9.50976682,-0.65155446,2.34266773,-0.00457958,-0.00020309,-0.00728076
2.89910954,9.52440850,-0.54906275,2.30606355,-0.00213612,-0.00386828,-0.00605903
2.91029757,9.42923762,-0.67351697,2.48176363,-0.00457958,-0.00142482,0.00004962
2.92152482,9.57565435,-0.63691279,2.34266773,0.00519426,0.00468383,-0.00361557
2.93275207,9.45120013,-0.57102526,2.24017602,0.00885945,0.00224037,-0.00361557
2.94397932,9.43655846,-0.40996685,2.18893016,0.00641599,0.00468383,0.00860174
2.95520657,9.47316264,-0.30747514,2.31338438,0.00275080,-0.00142482,0.00249308
2.96638554,9.49512515,-0.35872100,2.32070522,-0.00213612,-0.00631174,0.00127135
2.97756451,9.50244599,-0.39532518,2.48908446,-0.00580131,-0.00386828,0.00004962
2.98874348,9.56833352,-0.45389187,2.48176363,0.00519426,-0.00875521,-0.00239384
2.99992245,9.46584180,-0.65155446,2.36463024,0.00641599,0.00224037,0.00004962
3.01112872,9.59761686,-0.62227112,2.25481769,-0.00580131,-0.00020309,0.00004962
3.02233499,9.55369184,-0.54174191,2.30606355,-0.00702304,-0.00020309,-0.00483730
3.03354126,9.51708766,-0.38800434,2.26213853,-0.00824478,-0.00142482,0.00127135
3.04474753,9.45852097,-0.50513773,2.47444279,0.00275080,-0.00142482,0.00004962
3.05594277,9.53905017,-0.55638359,2.41587610,0.00152907,0.00224037,-0.00483730
3.06713802,9.50244599,-0.62227112,2.42319693,-0.00091439,-0.00264655,-0.00361557
3.07833326,9.45120013,-0.42460853,2.34266773,-0.00580131,0.00224037,0.00249308
3.08952850,9.46584180,-0.59298777,2.26213853,-0.00457958,0.00468383,0.00127135
3.10073900,9.50976682,-0.58566693,2.29874271,-0.00213612,-0.00020309,-0.00483730
3.11194950,9.48048348,-0.60762944,2.36463024,0.00763772,0.00468383,0.00249308
3.12316000,9.47316264,-0.59298777,2.34266773,0.00397253,0.00346210,0.00371481
3.13437051,9.48048348,-0.59298777,2.38659275,-0.00213612,-0.00142482,-0.00239384
3.14555871,9.42191678,-0.45389187,2.40123442,0.00641599,0.00101864,0.00615827
3.15674692,9.53905017,-0.36604183,2.40123442,0.00519426,-0.00020309,0.00127135
3.16793513,9.51708766,-0.47585438,2.41587610,0.00397253,0.00224037,-0.00117211
3.17912334,9.48048348,-0.65155446,2.29142187,0.00275080,-0.00142482,-0.00239384
3.19031709,9.56101268,-0.66619614,2.27678020,-0.00213612,0.00224037,-0.00117211
3.20151085,9.51708766,-0.59298777,2.26213853,0.00397253,0.00712729,-0.00850249
3.21270460,9.39995427,-0.58566693,2.27678020,0.01374637,-0.00142482,-0.00117211
3.22389835,9.49512515,-0.45389187,2.40855526,0.00030734,-0.00753348,0.00249308
3.23509711,9.44387929,-0.41728769,2.51104697,0.00519426,0.00468383,-0.00728076
3.24629587,9.56833352,-0.35140016,2.38659275,0.00152907,-0.00264655,0.00004962
3.25749463,9.57565435,-0.32943765,2.40123442,-0.00335785,0.00957075,0.00127135
3.26869339,9.52440850,-0.64423363,2.29142187,0.00275080,0.00590556,-0.00605903
3.27990389,9.48780431,-0.60030861,2.21089267,0.00397253,-0.00142482,0.00249308
3.29111439,9.51708766,-0.60030861,2.26945936,0.00152907,0.00346210,0.00493654
3.30232489,9.49512515,-0.52710024,2.37195108,0.00397253,-0.00509001,0.00493654
3.31353539,9.47316264,-0.48317522,2.49640530,0.00275080,-0.00142482,0.00615827
3.32475966,9.47316264,-0.43192936,2.44515944,0.00397253,-0.00142482,-0.00239384
3.33598393,9.48048348,-0.41728769,2.37927191,0.00641599,0.00346210,-0.00117211
3.34720820,9.50976682,-0.58566693,2.32802606,-0.00824478,0.00712729,-0.00117211
3.35843247,9.50244599,-0.54906275,2.20357183,-0.00702304,0.00224037,-0.00117211
3.36960721,9.48048348,-0.62227112,2.16696765,-0.00335785,-0.00020309,-0.00239384
3.38078195,9.48780431,-0.62227112,2.24017602,0.00397253,0.00346210,0.00127135
3.39195669,9.51708766,-0.62227112,2.46712195,0.00275080,-0.00386828,0.00004962
3.40313143,9.56833352,-0.49781689,2.47444279,0.00519426,0.00224037,0.00004962
