t,e_h,sigma_h,e_along,sigma_along,e_cross,sigma_cross
25.04,283.7269371927624,362.49759205602555,-269.75790424077,282.2246553889346,87.92979010786557,227.49450133357917
26.07,171.89816341678156,359.063252668028,-159.630668895154,280.15071641943933,63.77325563391173,224.59295515714422
27.1,173.13526159676306,351.85083936750704,-156.75902355058474,273.83403373605597,73.50120640946507,220.93875878048152
28.130000000000003,321.96118592144023,336.1429128628893,-311.995730325398,258.7298928128885,79.48376877489967,214.59473533378963
29.17,239.6787415942961,334.5103348340904,-196.01425781127153,258.97909948496067,137.9286406331975,211.72385349972754
30.200000000000003,228.08123004532285,328.2710282382931,-202.6800464688792,253.21502782122525,104.60328036137518,208.91150678247084
31.229999999999997,169.92559747614564,325.0441969497293,-134.2088767925912,251.2676245577398,104.22421056403424,206.19968675971631
32.25,130.33970726289556,321.5490603034237,-69.50892768722107,249.1628466018627,110.25855187308595,203.2527344349183
33.28,233.73729924343627,309.92568924962507,-212.49357477649,237.7653951079648,97.36326687372365,198.80027602095666
34.31,172.50208285585563,306.017132560759,-145.97451575349893,235.52415377917487,91.91522909801171,195.38387448127023
35.34,229.50278138503188,297.92636767566887,-213.83625251300353,228.13524667974053,83.34016903427023,191.610098321544
36.37,193.7906082453011,293.6382942360382,-171.95517793286754,225.29349091416526,89.36563448082052,188.3249606227466
37.4,166.79672736815263,288.9315804796787,-142.91805969080173,221.9377517521612,85.99753760976108,185.0002501232934
38.43,223.57086863907872,281.3579810076683,-208.93814953292278,215.04421777036336,79.55364840024747,181.4340042005466
39.46,186.53358008478375,277.0183137741087,-166.63209561806616,212.2234942598244,83.836276212497,178.04587793712284
40.49,225.98502345261014,270.4424774509544,-208.38729150256597,206.47895611644304,87.4297864866508,174.65845038495556
41.52,193.00414614792055,265.9502280025131,-170.083003748822,203.47033082154005,91.2270369247301,171.2581333833863
42.55,170.82813709272935,260.95676074612476,-143.62938208612024,199.89894791723168,92.48163614540792,167.74636091639692
43.58,213.35848518831838,254.20568232346625,-193.83457265079514,193.8429238721072,89.162781737323,164.45500840731938
44.62,197.76191536864155,248.71250040595993,-179.89304975258523,189.67429393340961,82.14782907044861,160.87750022625022
45.65,230.99074927459466,242.71142194607341,-214.15948210513957,184.39231397826225,86.55889598936126,157.82366390635733
46.68,181.3816108393175,237.87624986082753,-160.88754314135323,181.34957212720084,83.75253555925832,153.9397380052728
