t,x_rocket_n,x_rocket_e,x_pred_n,x_pred_e,rocket_lat,rocket_lon,pred_lat,pred_lon
38.43,3060.0268407345407,-2016.7138056248434,5375.066308194626,-2837.7446990211115,69.32202558252563,15.968600861668797,69.34284523264205,15.947717239567336
39.46,3127.170202904684,-2052.591995376245,5414.26566596214,-2854.2235779101457,69.32262941728857,15.967688269265174,69.34319776093582,15.947298085206468
40.49,3190.754163895498,-2086.419373886684,5379.318055226964,-2831.0919069081183,69.32320124158765,15.966827840997277,69.34288346952174,15.947886459017573
41.52,3257.2011706466565,-2121.5647471778757,5414.771105241642,-2846.082531173568,69.32379881387585,15.965933888406296,69.34320230646047,15.947505159684328
42.55,3323.4320211458166,-2156.3382469147355,5438.601219498438,-2857.636481700809,69.32439444222418,15.965049394736823,69.3434166158267,15.947211275083236
43.58,3386.096690128981,-2189.0495637483264,5392.9264163132875,-2836.5322568106317,69.32495799913163,15.964217354451021,69.3430058524532,15.947748079070633
44.62,3452.149059095306,-2223.3358442826925,5401.8129634173565,-2849.3621010110483,69.32555202235696,15.963345253618149,69.34308577109132,15.94742174102409
45.65,3514.157256158111,-2255.24282832071,5373.832639292307,-2829.095197957239,69.32610967547058,15.962533672224067,69.34283413799106,15.947937247015334
46.68,3578.8687348345593,-2288.3211020453323,5419.2701073515545,-2857.0453613948634,69.32669163977982,15.961692298076285,69.3432427669585,15.947226310733155
47.71,3643.1987518451315,-2320.821044663791,5451.5726296793055,-2864.750439692544,69.3272701735219,15.960865634274201,69.34353327052105,15.947030325484945
48.74,3704.095499445412,-2351.257754931495,5406.508470403312,-2845.428736659256,69.32781783113037,15.960091450549381,69.34312799880016,15.947521789506274
49.77,3767.6053928371653,-2382.7205598255064,5412.64744003333,-2852.1958627050094,69.32838898932354,15.959291167231246,69.34318320788041,15.947349661874794
50.8,3830.500552824646,-2413.4763142656475,5458.421919327303,-2863.9512817320106,69.32895461908637,15.95850886834537,69.3435948676627,15.947050652750315
51.83,3889.8371944119053,-2442.213556897032,5432.821400599387,-2844.19758057368,69.3294882463244,15.957777912031572,69.34336463666656,15.947553105012968
52.86,3951.386517728648,-2471.7662575360414,5449.561330233904,-2856.8344142688034,69.33004177268728,15.957026213846781,69.34351518247058,15.947231676353498
53.9,4010.0110597663306,-2499.5380670327854,5390.3274030625535,-2843.3938789575427,69.3305689958602,15.95631981414944,69.3429824789655,15.9475735478501
54.93000000000001,4070.3048688492336,-2527.602448775398,5464.633994726262,-2853.375507003877,69.33111123111232,15.955605972627106,69.34365073419895,15.947319656614395
55.959999999999994,4129.625322800824,-2555.0090329974,5466.869875177779,-2858.18851391321,69.33164471277144,15.954908862746604,69.34367084195493,15.947197233672366
56.980000000000004,4184.824390598134,-2580.1175224478748,5449.804992924862,-2851.6506821663197,69.3321411299144,15.954270206869658,69.34351737378181,15.94736352900749
58.010000000000005,4242.349970086159,-2606.006186505751,5471.63450979511,-2862.1039476343476,69.33265846987966,15.953611706585145,69.34371369134348,15.947097641271089
59.040000000000006,4296.41293265342,-2629.95397797483,5418.149786703965,-2857.886627837989,69.33314466978283,15.953002574052826,69.34323269167287,15.947204912402562
60.06999999999999,4352.229410228197,-2654.257204830569,5470.355130910267,-2858.8925573506804,69.33364663942533,15.952384400717836,69.34370218561276,15.947179325726138
61.11,4407.382176133158,-2677.7889917988277,5485.842759045331,-2867.8242129061414,69.33414264016537,15.95178584961535,69.34384146919882,15.946952141437627
62.129999999999995,4458.476364249771,-2699.284124487552,5480.811128673056,-2882.5851481134305,69.33460214123848,15.951239102554183,69.34379621865975,15.946576684441778
63.16,4511.745805517806,-2721.219696161738,5493.676437435325,-2889.755207907576,69.33508120483314,15.950681152551196,69.34391191916112,15.946394307846221
64.19,4561.404620382468,-2741.2684804411765,5459.144186667769,-2900.548909467009,69.33552779728447,15.950171194597296,69.34360136316896,15.946119760827033
65.22,4612.594805592748,-2761.547596125037,5505.9020800309245,-2941.96284546211,69.33598816168018,15.949655377967373,69.34402186700643,15.945066361989046
66.25,4662.796730335327,-2780.915602461737,5496.007221393577,-2914.5544741969175,69.33643963843598,15.94916273618197,69.34393288040484,15.945763517324517
67.28,4709.838679326938,-2798.510605720727,5507.254887637915,-2946.276188773095,69.33686269684709,15.948715192244354,69.34403403309753,15.944956648417454
68.31,4758.235495121232,-2816.2506663750473,5483.956471202857,-2933.338581262031,69.33729793986811,15.94826395864798,69.3438245054047,15.945285727515856
69.35,4803.734926991066,-2832.5046399170596,5506.41588621186,-2942.1785611894743,69.33770712608948,15.947850524946727,69.34402648777643,15.945060875075255
70.38,4850.196687904523,-2848.7182052133903,5481.608304461651,-2961.0301623478254,69.33812496674388,15.947438119063722,69.34380338783384,15.944581368496678
71.41,4895.686865192122,-2864.00646700361,5525.013348525488,-2947.9503373441303,69.3385340697368,15.947049249065792,69.34419373877317,15.944914065018486
72.44,4937.960648995342,-2877.978980741891,5491.499481575033,-2975.3418572644027,69.33891424700818,15.94669384624348,69.34389234132671,15.944217338311367
73.47,4979.681488172434,-2891.355279258669,5510.355795799023,-2945.649724809027,69.33928945152907,15.946353608664618,69.34406192023461,15.944972583063509
74.5,5018.128964963706,-2903.662933435087,5494.530187996637,-2983.888084461666,69.33963521799478,15.946040552967393,69.34391959712437,15.943999957722381
75.53,5057.811280814717,-2916.2873556375707,5502.741988831011,-2956.611190741512,69.33999208963495,15.94571944000484,69.34399344762352,15.944693768814187
76.56,5096.694418856641,-2927.6607094173423,5516.397698015205,-2996.334559007923,69.34034177409643,15.945430149036286,69.34411625636665,15.943683371010469
77.59,5132.671783305998,-2937.901934588537,5496.372802988948,-2966.601027960583,69.34066532630816,15.94516965472596,69.34393616815912,15.94443966877116
78.62,5168.170812799437,-2947.469191661348,5519.769310593036,-2994.2690701770543,69.34098457675029,15.944926303369924,69.34414657800703,15.94373590848323
79.66,5204.940702776785,-2956.6466426721995,5502.134359196542,-2988.380414282967,69.34131525631533,15.944692867064047,69.34398798307892,15.94388569147601
80.69,5239.992728458532,-2964.8941836660842,5533.21860523808,-2989.9939291827827,69.34163048675559,15.944483083813784,69.34426753041961,15.943844650346263
81.71,5268.701693653607,-2971.4640105677686,5494.911541406944,-2994.7288022146918,69.34188867268243,15.944315974654568,69.34392302671799,15.943724214806148
82.74,5295.577866531558,-2977.3371668497134,5514.392309829656,-2991.6938119784086,69.34213037591196,15.944166585907663,69.34409822147741,15.94380141237531
83.77,5325.349597594346,-2982.829579770517,5505.073318518397,-3002.3903813335646,69.34239811952186,15.94402688169338,69.3440144137751,15.943529335996708
84.8,5359.641856644287,-2987.982223984078,5532.522712036952,-2992.4129034906855,69.34270651721666,15.943895819786398,69.3442612721017,15.943783121668444
85.83,5388.254504179499,-2992.1760277365365,5518.604488738272,-3005.5246790619444,69.34296383693797,15.94378914680559,69.34413610251242,15.943449612456657
86.86,5417.044529696483,-2996.4694480201792,5520.725508648371,-2998.7960595099357,69.3432227518578,15.943679939993219,69.34415517730274,15.943620760642576
87.89,5446.418228259391,-3000.0605268621935,5521.364053120024,-3011.651578510577,69.34348691587543,15.943588597835358,69.34416091987113,15.943293769535558
88.92,5475.60200559878,-3003.446547838378,5519.7302442525015,-3005.688417045604,69.34374937189047,15.943502471499476,69.34414622667498,15.943445447641176
89.95,5502.257916358162,-3006.012464570007,5520.702094817531,-3008.968406275361,69.34398909425518,15.94343720521559,69.3441549667371,15.943362018313337
90.67,5520.48340363,-3007.56166419,5520.144320104191,-3007.5191446011386,69.34415299999999,15.943397799999923,69.34414995054858,15.943398881521986
